Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
95,Remorseful Prober: 0.1,2.6485355648535567,0.7211994421199442,73.0,1.0,0.5947001394700139,0.12649930264993026,0.14588563458856346,0.13291492329149232,0.890589199204702,0,0.9342169394205595,0.5606098393332436
96,Soft Go By Majority,2.6476987447698743,0.8751743375174338,14.0,1.0,0.7620641562064155,0.11311018131101813,0.05815899581589958,0.06666666666666667,1.0,0.7784156920520556,0.773469387755102,0
97,Soft Go By Majority: 20,2.6422594142259412,0.8772663877266388,15.0,1.0,0.7598326359832636,0.11743375174337517,0.059972105997210604,0.06276150627615062,1.0,0.7799428429863212,0.8029513888888888,0
98,Meta Winner Memory One: 37 players,2.6414225941422593,0.3291492329149233,174.0,1.0,0.22566248256624824,0.10348675034867504,0.3200836820083682,0.3507670850767085,0.5347298625682905,0.5091022384410814,0.19967450689218,0.31415095765441786
99,Soft Go By Majority: 40,2.6410041841004186,0.8735006973500697,15.0,1.0,0.7598326359832636,0.11366806136680614,0.058716875871687585,0.06778242677824267,1.0,0.8044083021355749,0.7850378787878788,0
100,Naive Prober: 0.1,2.6401673640167362,0.702510460251046,83.0,1.0,0.5831241283124129,0.1193863319386332,0.1502092050209205,0.14728033472803348,0.8898766391223195,0,0.9190758587817411,0
101,Second by Tranquilizer,2.6401673640167362,0.8543933054393306,18.0,1.0,0.7456066945606694,0.1087866108786611,0.06582984658298466,0.07977684797768479,0.9813774474118191,0.5803301636634969,1.0,0.9166666666666666
102,"N Tit(s) For M Tat(s): 3, 2",2.6393305439330543,0.8846582984658299,10.0,1.0,0.7861924686192469,0.09846582984658299,0.040585774058577405,0.07475592747559275,1.0,0.7352785558667913,0.33616780045351474,0.3661816578483245
103,ZD-Mem2,2.6393305439330543,0.7715481171548118,66.0,1.0,0.6545327754532776,0.11701534170153416,0.11269177126917712,0.11576011157601117,0.8958725705382932,0.46469587057822354,0.84925733988234,0.3661835187086735
104,First by Shubik,2.6372384937238493,0.8566248256624825,9.0,1.0,0.7576011157601116,0.099023709902371,0.054811715481171544,0.0885634588563459,1.0,0,0.6847167325428195,0.6638567138567137
105,"ZD-Mischief: 0.1, 0.0, 1",2.6368200836820086,0.47280334728033474,171.0,1.0,0.401952580195258,0.0708507670850767,0.2298465829846583,0.29735006973500694,0.7763055262833222,0.6501347021989223,0.22755840797438004,0
106,Second by Eatherley,2.6359832635983262,0.9006973500697351,0.0,1.0,0.7934449093444909,0.10725244072524406,0.04142259414225941,0.057880055788005584,1.0,0.5450865663828627,1.0,0.4961428731036574
107,Nice Average Copier,2.6338912133891212,0.8411436541143654,18.0,1.0,0.7383542538354254,0.10278940027894003,0.06555090655509065,0.09330543933054393,0.9334963860020292,0.5141757506215338,0.6406856130882106,0.46922283376160384
